#,Source,Destination,Slot,Dimension,Distance,Boundary,Margin
1,SAV3-18-0135H,SAV3-16-0014G,91,2D,34636,No,0
2,SAV3-14-0436,SAV3-14-0437,90,2D,7170,No,0
3,SAV3-12-0405H,SAV3-14-0436,89,2D,8702,No,0
4,SAV3-10-0435G,SAV3-12-0401H,88,2D,20481,No,0
5,SAV3-14-0438,SAV3-14-0406,87,2D,17778,No,0
6,SAV3-12-0402H,SAV3-12-0401H,86,2D,6726,No,0
7,SAV3-14-0388H,SAV3-12-0405H,85,2D,27508,No,0
8,SAV3-14-0407G,SAV3-15-0390G,84,2D,18982,No,0
9,SAV3-12-0386G,SAV3-12-0400G,83,2D,18936,No,0
10,SAV3-14-0406,SAV3-12-0389G,82,2D,18727,No,0
11,SAV3-02-0002G,SAV3-02-0034H,81,2D,16510,No,0
12,SAV3-12-0401H,SAV3-12-0387G,81,2D,18426,No,0
13,SAV3-01-0373H,SAV3-01-0280H,80,2D,14769,No,0
14,SAV3-12-0345H,SAV3-12-0389G,80,2D,14304,No,0
15,SAV3-11-0108H,SAV3-11-0091G,79,2D,13872,No,0
16,SAV3-01-0366G,SAV3-01-0375H,79,2D,27922,No,0
17,SAV3-02-0003G,SAV3-02-0002G,78,2D,29287,No,0
18,SAV3-12-0387G,SAV3-12-0341H,78,2D,18473,No,0
19,SAV3-11-0090G,SAV3-11-0104H,77,2D,13813,No,0
20,SAV3-01-0283H,SAV3-01-0274H,77,2D,28609,No,0
21,SAV3-11-0101H,SAV3-11-0089G,76,2D,12105,No,0
22,SAV3-02-0003G,SAV3-02-0043H,76,2D,15290,No,0
23,SAV3-05-0006G,SAV3-05-0005G,75,2D,5790,No,0
24,SAV3-22-0432,SAV3-22-0443,75,2D,18832,No,0
25,SAV3-11-0091G,SAV3-11-0090G,75,2D,20562,No,0
26,SAV3-22-0433,SAV3-22-0432,74,2D,16389,No,0
27,SAV3-01-0378H,SAV3-04-0379G,74,2D,14685,No,0
28,SAV3-11-0090G,SAV3-11-0089G,74,2D,17909,No,0
29,SAV3-22-0432,SAV3-22-0430,73,2D,19831,No,0
30,SAV3-11-0103H,SAV3-11-0108H,73,2D,27057,No,0
31,SAV3-04-0380G,SAV3-06-0381G,73,2D,29407,No,0
32,SAV3-11-0108H,SAV3-13-0113H,72,2D,27524,No,0
33,SAV3-22-0430,SAV3-21-0397,72,2D,21160,No,0
34,SAV3-06-0381G,SAV3-06-0307H,72,2D,12130,No,0
35,SAV3-08-0082H,SAV3-08-0009G,71,2D,17728,No,0
36,SAV3-03-0399G,SAV3-04-0379G,71,2D,31755,No,0
37,SAV3-22-0430,SAV3-22-0429G,71,2D,13068,No,0
38,SAV3-14-0406,SAV3-12-0405H,71,2D,21378,No,0
39,SAV3-01-0378H,SAV3-01-0283H,70,2D,14006,No,0
40,SAV3-22-0429G,SAV3-22-0432,70,2D,22907,No,0
41,SAV3-08-0008G,SAV3-08-0074H,70,2D,17726,No,0
42,SAV3-12-0389G,SAV3-14-0388H,70,2D,15487,No,0
43,SAV3-18-0146H,SAV3-20-0018G,69,2D,35854,No,0
44,SAV3-12-0389G,SAV3-15-0390G,69,2D,23985,No,0
45,SAV3-01-0378H,SAV3-03-0398H,69,2D,32089,No,0
46,SAV3-05-0007G,SAV3-05-0070H,69,2D,23298,No,0
47,SAV3-22-0431G,SAV3-22-0429G,68,2D,19936,No,0
48,SAV3-12-0386G,SAV3-12-0337H,68,2D,16420,No,0
49,SAV3-01-0272G,SAV3-01-0365G,68,2D,4822,No,0
50,SAV3-05-0006G,SAV3-05-0064H,68,2D,24179,No,0
51,SAV3-16-0014G,SAV3-16-0013G,68,2D,4195,No,0
52,SAV3-15-0390G,SAV3-15-0349H,67,2D,13957,No,0
53,SAV3-18-0144H,SAV3-20-0149H,67,2D,27440,No,0
54,SAV3-11-0010G,SAV3-08-0009G,67,2D,29366,No,0
55,SAV3-04-0291H,SAV3-01-0283H,67,2D,25957,No,0
